original_path,new_path,action,classification,reason,evidence,upstream_creator,downstream_references,sha256_before,sha256_after,size_bytes,reproducible,contains_unique_evidence,tracked_status,applied
tmp/pdfs/pipeline_technical_v23/page-11.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-11.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,20e5a0d092d7d25513fcb4351fa351638b247e4444bc06ad92c094d213fe1ebe,20e5a0d092d7d25513fcb4351fa351638b247e4444bc06ad92c094d213fe1ebe,254342,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-12.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-12.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,53152ddc25191cebcb82ad6ee24c11561b9c0c8792435fa5b2b8cbd242b9f42f,53152ddc25191cebcb82ad6ee24c11561b9c0c8792435fa5b2b8cbd242b9f42f,182828,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-13.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-13.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,5d91dd976dd07789914b9148907742634c5ebadb628bbde00d2a7a438f77a234,5d91dd976dd07789914b9148907742634c5ebadb628bbde00d2a7a438f77a234,260857,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-14.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-14.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,0b860f5f8746ca1f8710ca2125cf3463ba5c31a5000386cd60529427e902e461,0b860f5f8746ca1f8710ca2125cf3463ba5c31a5000386cd60529427e902e461,260866,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-15.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-15.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,a83df6d6132bb82a0d6d0e91429e62d4cd15823f7bd0b5a466dd7b290f8b502f,a83df6d6132bb82a0d6d0e91429e62d4cd15823f7bd0b5a466dd7b290f8b502f,286398,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-16.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-16.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,77eb99999e8d488c98221160e954820fc3deeedb36780510d0e419172215312c,77eb99999e8d488c98221160e954820fc3deeedb36780510d0e419172215312c,276546,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-17.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-17.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,73e65de39d7c85549a659dd67b58cb0122f126bc56711c2cecfdc1909fddd5ab,73e65de39d7c85549a659dd67b58cb0122f126bc56711c2cecfdc1909fddd5ab,272068,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-18.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-18.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,4adf6f452c00b8d479b8aaf677b3c4b5e1b5374d408d6edede6168b9e17cfdf7,4adf6f452c00b8d479b8aaf677b3c4b5e1b5374d408d6edede6168b9e17cfdf7,214758,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-19.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-19.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,42bed67e68e55332167c98552cf2fb44e6a84114e59f3221b7931463edbcba0d,42bed67e68e55332167c98552cf2fb44e6a84114e59f3221b7931463edbcba0d,188371,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-20.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-20.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,46e850444447fff655a7df22371025f19c2eee79de6e2a5ec4fa1890d7d33b83,46e850444447fff655a7df22371025f19c2eee79de6e2a5ec4fa1890d7d33b83,245538,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-21.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-21.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,eb643907108b0abe41aba150fd84d6ee81ce20e2138e5e7befae7f4b163a44c5,eb643907108b0abe41aba150fd84d6ee81ce20e2138e5e7befae7f4b163a44c5,203671,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-22.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-22.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,4efe4b8e7df74d89c1efe5e32f9152b2eee9d78543b58b4e2f92d5255829b5a0,4efe4b8e7df74d89c1efe5e32f9152b2eee9d78543b58b4e2f92d5255829b5a0,266970,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-23.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-23.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,2bd09c54f22b19357a2e3b5398a605f591e0e095ece89e104eea5845bdc75919,2bd09c54f22b19357a2e3b5398a605f591e0e095ece89e104eea5845bdc75919,221408,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-24.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-24.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,42b1760c2e3df8b0998f82242b3b5b06e15388c9f99a8f55718a8d50f5dcee49,42b1760c2e3df8b0998f82242b3b5b06e15388c9f99a8f55718a8d50f5dcee49,195116,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/page-25.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/page-25.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,e9a63a66c07c0c4b0d3f3aef1ba1b1760f4d29a1778f2f9ebfc20f1313f60c90,e9a63a66c07c0c4b0d3f3aef1ba1b1760f4d29a1778f2f9ebfc20f1313f60c90,243458,true,false,ignored_or_untracked,true
tmp/pdfs/pipeline_technical_v23/text.txt,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/pipeline_technical_v23/text.txt,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,4c730abebd41f550be5951d981fb567ed4356769c441ee2ce33ca85fd8fc3af0,4c730abebd41f550be5951d981fb567ed4356769c441ee2ce33ca85fd8fc3af0,83360,true,false,ignored_or_untracked,true
tmp/pdfs/revised-15.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-15.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,656455acabd74e9f5b778fb0a98a0104c6d39dbb70a78f75dfbcf41edf7d0f4d,656455acabd74e9f5b778fb0a98a0104c6d39dbb70a78f75dfbcf41edf7d0f4d,267135,true,false,ignored_or_untracked,true
tmp/pdfs/revised-16.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-16.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,3abea16666deea1b78c916a5cc120250f76469268e4c07bff2a3ae3f698fe84c,3abea16666deea1b78c916a5cc120250f76469268e4c07bff2a3ae3f698fe84c,307084,true,false,ignored_or_untracked,true
tmp/pdfs/revised-17.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-17.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,5436c4ec626885b711de7c47dca64250335529e4a413b5fa7539b16c20180a23,5436c4ec626885b711de7c47dca64250335529e4a413b5fa7539b16c20180a23,290971,true,false,ignored_or_untracked,true
tmp/pdfs/revised-18.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-18.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,e62168ddd8b7cfbc707877f430a6a759e2f10c7f1ed68667349395ef1c14b9a5,e62168ddd8b7cfbc707877f430a6a759e2f10c7f1ed68667349395ef1c14b9a5,274581,true,false,ignored_or_untracked,true
tmp/pdfs/revised-19.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-19.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,0f7749ba2d629eabf770eae77dbbe340bc60cbd9eed792549e8eb39d8dddfd70,0f7749ba2d629eabf770eae77dbbe340bc60cbd9eed792549e8eb39d8dddfd70,313183,true,false,ignored_or_untracked,true
tmp/pdfs/revised-20.png,/tmp/refusal_audit_v2_cleanup_2026-09-01/tmp/pdfs/revised-20.png,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,05dd792aae39bb583fd2b573cf61460306b3cb67a41525c5974000b8bef1bfcc,05dd792aae39bb583fd2b573cf61460306b3cb67a41525c5974000b8bef1bfcc,235696,true,false,ignored_or_untracked,true
writeup/pipeline_technical.aux,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.aux,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,061b2fd07b91ec8afd480d34880d2d5bec7ede018f9ddbc5f56dbdaaeba7a351,061b2fd07b91ec8afd480d34880d2d5bec7ede018f9ddbc5f56dbdaaeba7a351,7315,true,false,ignored_or_untracked,true
writeup/pipeline_technical.fdb_latexmk,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.fdb_latexmk,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,7a0d1744792c5463e895b18028ba0cf2951141a2207f06046326d92db7f0eb65,7a0d1744792c5463e895b18028ba0cf2951141a2207f06046326d92db7f0eb65,23681,true,false,ignored_or_untracked,true
writeup/pipeline_technical.fls,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.fls,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,60eb33ff0ec0607ba131be7bd99448b7a817883975c13d8db2665158796a0bab,60eb33ff0ec0607ba131be7bd99448b7a817883975c13d8db2665158796a0bab,24183,true,false,ignored_or_untracked,true
writeup/pipeline_technical.log,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.log,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,735389f788e3c6eb0bcc2d85f7689cd0dbbde39b25ca37cc380ead4bb63818d0,735389f788e3c6eb0bcc2d85f7689cd0dbbde39b25ca37cc380ead4bb63818d0,37112,true,false,ignored_or_untracked,true
writeup/pipeline_technical.out,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.out,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,4e334b787e50fc8863fccbf8a5b0ab968955924c7f68f31ba76f7c83bb817c34,4e334b787e50fc8863fccbf8a5b0ab968955924c7f68f31ba76f7c83bb817c34,8001,true,false,ignored_or_untracked,true
writeup/pipeline_technical.toc,/tmp/refusal_audit_v2_cleanup_2026-09-01/writeup/pipeline_technical.toc,delete_recoverably,accidental_junk,Regenerable or accidental artifact with a preserved canonical/release copy where applicable.,"Checkpoint classified as OS cruft, empty placeholder, LaTeX byproduct, temporary render, or duplicate preview.",documented in artifact registry or file header,none material,e8fde0b54e9589975f0a63e70e6ffb7ec2380b2a42c99c3d1f90d1ccdd704e88,e8fde0b54e9589975f0a63e70e6ffb7ec2380b2a42c99c3d1f90d1ccdd704e88,4175,true,false,ignored_or_untracked,true
.pytest_cache/.gitignore,/tmp/refusal_audit_v2_cleanup_2026-09-01/.pytest_cache/.gitignore,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,3ed731b65d06150c138e2dadb0be0697550888a6b47eb8c45ecc9adba8b8e9bd,37,true,false,ignored_or_untracked,true
.pytest_cache/CACHEDIR.TAG,/tmp/refusal_audit_v2_cleanup_2026-09-01/.pytest_cache/CACHEDIR.TAG,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,37dc88ef9a0abeddbe81053a6dd8fdfb13afb613045ea1eb4a5c815a74a3bde4,191,true,false,ignored_or_untracked,true
.pytest_cache/README.md,/tmp/refusal_audit_v2_cleanup_2026-09-01/.pytest_cache/README.md,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,73fd6fccdd802c419a6b2d983d6c3173b7da97558ac4b589edec2dfe443db9ad,302,true,false,ignored_or_untracked,true
.pytest_cache/v/cache/lastfailed,/tmp/refusal_audit_v2_cleanup_2026-09-01/.pytest_cache/v/cache/lastfailed,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,5e4ef708b308eb4376b5b802de1218ae81b2d3badc4ff53eae14704816e6ee30,5e4ef708b308eb4376b5b802de1218ae81b2d3badc4ff53eae14704816e6ee30,528,true,false,ignored_or_untracked,true
.pytest_cache/v/cache/nodeids,/tmp/refusal_audit_v2_cleanup_2026-09-01/.pytest_cache/v/cache/nodeids,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,14215c15c61f8c43e0a928631e7879316344ff046bc811aae52dae5c948044ff,14215c15c61f8c43e0a928631e7879316344ff046bc811aae52dae5c948044ff,15754,true,false,ignored_or_untracked,true
interactive/__pycache__/app.cpython-313.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/app.cpython-313.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,f9a84138fa1df44f771bcd776e7ede1c082386f3919661f94b510551730e1136,f9a84138fa1df44f771bcd776e7ede1c082386f3919661f94b510551730e1136,17646,true,false,ignored_or_untracked,true
interactive/__pycache__/app.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/app.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,2cfbd926f0d715a3f57c8d1d29244bb945165ef0daaa2b4cf5650d8a47adfe3d,2cfbd926f0d715a3f57c8d1d29244bb945165ef0daaa2b4cf5650d8a47adfe3d,7394,true,false,ignored_or_untracked,true
interactive/__pycache__/build_data.cpython-313.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/build_data.cpython-313.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,a4a232ea526e90108c5882f95e5ee94a0c94c0fa1ca7535558f3bea353559372,a4a232ea526e90108c5882f95e5ee94a0c94c0fa1ca7535558f3bea353559372,14588,true,false,ignored_or_untracked,true
interactive/__pycache__/build_data.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/build_data.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,f2fa4244df3cd3dcf25863ed31bfbac41557bfc0bea7d8901a297e912c7903d0,f2fa4244df3cd3dcf25863ed31bfbac41557bfc0bea7d8901a297e912c7903d0,9551,true,false,ignored_or_untracked,true
interactive/__pycache__/schemas.cpython-313.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/schemas.cpython-313.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,72171d4fc361e859170b9c49939692cf969294c270a3276e0a5edf854f95c89c,72171d4fc361e859170b9c49939692cf969294c270a3276e0a5edf854f95c89c,1209,true,false,ignored_or_untracked,true
interactive/__pycache__/schemas.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/__pycache__/schemas.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,0ff178f3f410892a834ea1d5de240da886fe5d3cfd679f6db922746c2cdad633,0ff178f3f410892a834ea1d5de240da886fe5d3cfd679f6db922746c2cdad633,1136,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/10_Refusal_boundary_consistency_review.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/10_Refusal_boundary_consistency_review.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,e8ac3681b73c892d548c81ccc8dff64b2cb1d09c60dfd0bc6efee0e3b156cbfd,e8ac3681b73c892d548c81ccc8dff64b2cb1d09c60dfd0bc6efee0e3b156cbfd,10682,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/2_Human_validity_review.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/2_Human_validity_review.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,1a0715903c7a3b5d3316127847f05b8c078c42e4e43a54f86db6770f38177eb1,1a0715903c7a3b5d3316127847f05b8c078c42e4e43a54f86db6770f38177eb1,11402,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/4_Decomposed_response_review.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/4_Decomposed_response_review.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,1da1d6c92bf155e1d466d31c8904724cd1ab37a9c6e63bf7e1179f78fcaa1b53,1da1d6c92bf155e1d466d31c8904724cd1ab37a9c6e63bf7e1179f78fcaa1b53,9132,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/5_Review_frontier_annotations.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/5_Review_frontier_annotations.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,d81730768c26947cf8553df9fbcf9b69c04d40aaedecf72ecb6edcb900ab2d48,d81730768c26947cf8553df9fbcf9b69c04d40aaedecf72ecb6edcb900ab2d48,9693,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/6_Final_harmonization_review.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/6_Final_harmonization_review.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,de02a41dc611bc04221ba153fe1ab537f8509c949771f3eac03a1245d668edec,de02a41dc611bc04221ba153fe1ab537f8509c949771f3eac03a1245d668edec,8008,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/7_External_v2_3_validation.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/7_External_v2_3_validation.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,d970ae2049918cd4614f4bc3cb5be31394e3d93c31a52a7c9f371ecb33a15fb8,d970ae2049918cd4614f4bc3cb5be31394e3d93c31a52a7c9f371ecb33a15fb8,9334,true,false,ignored_or_untracked,true
interactive/pages/__pycache__/9_Refusal_disagreement_review.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/pages/__pycache__/9_Refusal_disagreement_review.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,69b835583aaf5922993372ba9414e9549596f60dad5e5a73292d8b6e5fbf0bd9,69b835583aaf5922993372ba9414e9549596f60dad5e5a73292d8b6e5fbf0bd9,10786,true,false,ignored_or_untracked,true
interactive/tests/__pycache__/test_app.cpython-39-pytest-8.4.2.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/tests/__pycache__/test_app.cpython-39-pytest-8.4.2.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,a778877713cafbd425420094ca0bf72a29f0d78fbf8b94fa513e3c02665b57e0,a778877713cafbd425420094ca0bf72a29f0d78fbf8b94fa513e3c02665b57e0,7167,true,false,ignored_or_untracked,true
interactive/tests/__pycache__/test_app.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/tests/__pycache__/test_app.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,9e48ad48bb04f9331c60689f98004debfd67ad84f9e47bc0ef7309fe90354897,9e48ad48bb04f9331c60689f98004debfd67ad84f9e47bc0ef7309fe90354897,3228,true,false,ignored_or_untracked,true
interactive/tests/__pycache__/test_build_data.cpython-39-pytest-8.4.2.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/tests/__pycache__/test_build_data.cpython-39-pytest-8.4.2.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,74d85782d98c1fc6664988552fd532ff0457ad5199353f30054d1520a069df96,74d85782d98c1fc6664988552fd532ff0457ad5199353f30054d1520a069df96,1230,true,false,ignored_or_untracked,true
interactive/tests/__pycache__/test_build_data.cpython-39.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/tests/__pycache__/test_build_data.cpython-39.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,17514942c7aad8d6c2001f637c8c0651d71db6f8fe19a6b935ba916b2ec1a6e2,17514942c7aad8d6c2001f637c8c0651d71db6f8fe19a6b935ba916b2ec1a6e2,770,true,false,ignored_or_untracked,true
interactive/tests/__pycache__/test_frontier_review.cpython-39-pytest-8.4.2.pyc,/tmp/refusal_audit_v2_cleanup_2026-09-01/interactive/tests/__pycache__/test_frontier_review.cpython-39-pytest-8.4.2.pyc,delete_recoverably,accidental_junk,Disposable Python bytecode or pytest cache.,Interpreter/test cache; no scientific content and regenerated automatically.,Python interpreter or pytest,none,afa8a316b7db762aa0b9590a73c526580aaf8d99811ed73db0fe842ddf97faa1,afa8a316b7db762aa0b9590a73c526580aaf8d99811ed73db0fe842ddf97faa1,2938,true,false,ignored_or_untracked,true
